alphabetical_order,letter_count_order,letter_count
Alabama,Utah,4
Alaska,Ohio,4
Arizona,Iowa,4
Arkansas,Texas,5
California,Maine,5
Colorado,Idaho,5
Connecticut,Alaska,6
Delaware,Oregon,6
Florida,Nevada,6
Georgia,Hawaii,6
Hawaii,Kansas,6
Idaho,Alabama,7
Illinois,Vermont,7
Indiana,Montana,7
Iowa,Wyoming,7
Kansas,Arizona,7
Kentucky,Georgia,7
Louisiana,Indiana,7
Maine,Florida,7
Maryland,Illinois,8
Massachusetts,Virginia,8
Michigan,Arkansas,8
Minnesota,Colorado,8
Mississippi,Oklahoma,8
Missouri,New York,8
Montana,Delaware,8
Nebraska,Missouri,8
Nevada,Kentucky,8
New Hampshire,Michigan,8
New Jersey,Maryland,8
New Mexico,Nebraska,8
New York,Wisconsin,9
North Carolina,Minnesota,9
North Dakota,Louisiana,9
Ohio,Tennessee,9
Oklahoma,Washington,10
Oregon,New Jersey,10
Pennsylvania,New Mexico,10
Rhode Island,California,10
South Carolina,Mississippi,11
South Dakota,Connecticut,11
Tennessee,Rhode Island,12
Texas,Pennsylvania,12
Utah,North Dakota,12
Vermont,South Dakota,12
Virginia,Massachusetts,13
Washington,New Hampshire,13
West Virginia,West Virginia,13
Wisconsin,South Carolina,14
Wyoming,North Carolina,14
